--------- beginning of main
--------- beginning of system
08-03 18:09:43.093  9573 18965 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/feeds/?update_counts=true
08-03 18:09:43.094  9573 18965 D CustomInterceptor: HEADER REQUEST
08-03 18:09:43.094  9573 18965 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 18:09:43.094  9573 18965 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:18:45 GMT; Max-Age=63072000; Path=/
08-03 18:09:43.094  9573 18965 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-03 18:09:43.094  9573 18965 D CustomInterceptor: CACHED STATS: size = '0', maxSize = '100', hitCount = '0', createCount = '0', putCount = '0', evictionCount = '0', missCount = '0', toString = 'LruCache[maxSize=100,hits=0,misses=0,hitRate=0%]', 
08-03 18:09:43.094  9573 18965 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 18:09:43.696  9573 18965 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-03 18:09:43.727  9573 18965 D CustomInterceptor: HEADER RESPONSE
08-03 18:09:43.727  9573 18965 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-03 18:09:43.728  9573 18965 D CustomInterceptor: Connection close
08-03 18:09:43.728  9573 18965 D CustomInterceptor: Content-Type application/json
08-03 18:09:43.728  9573 18965 D CustomInterceptor: Date Mon, 03 Aug 2020 16:09:38 GMT
08-03 18:09:43.728  9573 18965 D CustomInterceptor: Expires Mon, 03 Aug 2020 16:14:43 GMT+00:00
08-03 18:09:43.728  9573 18965 D CustomInterceptor: Last-Modified Mon, 03 Aug 2020 16:09:38 GMT
08-03 18:09:43.728  9573 18965 D CustomInterceptor: Server gunicorn/19.7.0
08-03 18:09:43.728  9573 18965 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-03 18:09:43.728  9573 18965 D CustomInterceptor: Transfer-Encoding chunked
08-03 18:09:43.728  9573 18965 D CustomInterceptor: Vary Cookie
08-03 18:09:43.728  9573 18965 D CustomInterceptor: X-gunicorn-server app14
08-03 18:09:43.728  9573 18965 D CustomInterceptor: X-Homer You don't win friends with salad.
08-03 18:09:43.728  9573 18965 D CustomInterceptor: CACHEABLE true
08-03 18:09:43.728  9573 18965 D CustomInterceptor: REQ https://www.newsblur.com/reader/feeds/?update_counts=true
08-03 18:09:43.728  9573 18965 D CustomInterceptor: REQ_SERV_BY net
08-03 18:09:43.728  9573 18965 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/feeds/?update_counts=true
08-03 18:09:43.730  9573 18965 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-03 18:09:43.759  9573 18986 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-03 18:09:43.759  9573 18986 D CustomInterceptor: HEADER REQUEST
08-03 18:09:43.760  9573 18986 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 18:09:43.760  9573 18986 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:18:45 GMT; Max-Age=63072000; Path=/
08-03 18:09:43.760  9573 18986 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-03 18:09:43.760  9573 18986 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '1', toString = 'LruCache[maxSize=100,hits=1,misses=1,hitRate=50%]', 
08-03 18:09:43.760  9573 18986 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 18:09:44.186  9573 18986 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-03 18:09:44.187  9573 18986 D CustomInterceptor: HEADER RESPONSE
08-03 18:09:44.188  9573 18986 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-03 18:09:44.188  9573 18986 D CustomInterceptor: Connection close
08-03 18:09:44.188  9573 18986 D CustomInterceptor: Content-Type application/json
08-03 18:09:44.188  9573 18986 D CustomInterceptor: Date Mon, 03 Aug 2020 16:09:39 GMT
08-03 18:09:44.188  9573 18986 D CustomInterceptor: Expires Mon, 03 Aug 2020 16:14:44 GMT+00:00
08-03 18:09:44.188  9573 18986 D CustomInterceptor: Server gunicorn/19.7.0
08-03 18:09:44.188  9573 18986 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-03 18:09:44.188  9573 18986 D CustomInterceptor: Transfer-Encoding chunked
08-03 18:09:44.188  9573 18986 D CustomInterceptor: Vary Cookie
08-03 18:09:44.188  9573 18986 D CustomInterceptor: X-Chief-Wiggum I hope this has taught you kids a lesson: kids never learn.
08-03 18:09:44.188  9573 18986 D CustomInterceptor: X-gunicorn-server app17
08-03 18:09:44.188  9573 18986 D CustomInterceptor: CACHEABLE true
08-03 18:09:44.188  9573 18986 D CustomInterceptor: REQ https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-03 18:09:44.188  9573 18986 D CustomInterceptor: REQ_SERV_BY net
08-03 18:09:44.188  9573 18986 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-03 18:09:44.190  9573 18986 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-03 18:09:50.043  9573 19199 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-03 18:09:50.043  9573 19199 D CustomInterceptor: HEADER REQUEST
08-03 18:09:50.044  9573 19199 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 18:09:50.044  9573 19199 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 15:18:45 GMT; Max-Age=63072000; Path=/
08-03 18:09:50.044  9573 19199 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-03 18:09:50.044  9573 19199 D CustomInterceptor: CACHED STATS: size = '2', maxSize = '100', hitCount = '2', createCount = '0', putCount = '2', evictionCount = '0', missCount = '2', toString = 'LruCache[maxSize=100,hits=2,misses=2,hitRate=50%]', 
08-03 18:09:50.044  9573 19199 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 18:09:50.546  9573 19199 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-03 18:09:50.547  9573 19199 D CustomInterceptor: HEADER RESPONSE
08-03 18:09:50.548  9573 19199 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-03 18:09:50.548  9573 19199 D CustomInterceptor: Connection close
08-03 18:09:50.548  9573 19199 D CustomInterceptor: Content-Type application/json
08-03 18:09:50.548  9573 19199 D CustomInterceptor: Date Mon, 03 Aug 2020 16:09:45 GMT
08-03 18:09:50.548  9573 19199 D CustomInterceptor: Expires Mon, 03 Aug 2020 16:14:50 GMT+00:00
08-03 18:09:50.548  9573 19199 D CustomInterceptor: Server gunicorn/19.7.0
08-03 18:09:50.548  9573 19199 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-03 18:09:50.548  9573 19199 D CustomInterceptor: Vary Cookie, Accept-Encoding
08-03 18:09:50.548  9573 19199 D CustomInterceptor: X-gunicorn-server app12
08-03 18:09:50.548  9573 19199 D CustomInterceptor: X-Homer Save me, Jeebus.
08-03 18:09:50.548  9573 19199 D CustomInterceptor: CACHEABLE true
08-03 18:09:50.548  9573 19199 D CustomInterceptor: REQ https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-03 18:09:50.548  9573 19199 D CustomInterceptor: REQ_SERV_BY net
08-03 18:09:50.548  9573 19199 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-03 18:09:50.553  9573 19199 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-03 18:09:50.691  9573 19226 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-03 18:09:50.691  9573 19226 D CustomInterceptor: HEADER REQUEST
08-03 18:09:50.691  9573 19226 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 18:09:50.692  9573 19226 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '3', toString = 'LruCache[maxSize=100,hits=3,misses=3,hitRate=50%]', 
08-03 18:09:50.692  9573 19226 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
