--------- beginning of main
--------- beginning of system
08-05 12:34:48.666  4395 24344 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/feeds/?update_counts=true
08-05 12:34:48.667  4395 24344 D CustomInterceptor: HEADER REQUEST
08-05 12:34:48.667  4395 24344 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 12:34:48.667  4395 24344 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:30:33 GMT; Max-Age=63072000; Path=/
08-05 12:34:48.667  4395 24344 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 12:34:48.667  4395 24344 D CustomInterceptor: CACHED STATS: size = '0', maxSize = '100', hitCount = '0', createCount = '0', putCount = '0', evictionCount = '0', missCount = '0', toString = 'LruCache[maxSize=100,hits=0,misses=0,hitRate=0%]', 
08-05 12:34:48.667  4395 24344 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 12:34:49.280  4395 24344 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 12:34:49.324  4395 24344 D CustomInterceptor: HEADER RESPONSE
08-05 12:34:49.324  4395 24344 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 12:34:49.324  4395 24344 D CustomInterceptor: Connection close
08-05 12:34:49.324  4395 24344 D CustomInterceptor: Content-Type application/json
08-05 12:34:49.324  4395 24344 D CustomInterceptor: Date Wed, 05 Aug 2020 10:34:44 GMT
08-05 12:34:49.324  4395 24344 D CustomInterceptor: Expires Wed, 05 Aug 2020 10:39:49 GMT+00:00
08-05 12:34:49.324  4395 24344 D CustomInterceptor: Last-Modified Wed, 05 Aug 2020 10:34:44 GMT
08-05 12:34:49.324  4395 24344 D CustomInterceptor: Server gunicorn/19.7.0
08-05 12:34:49.324  4395 24344 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 12:34:49.324  4395 24344 D CustomInterceptor: Transfer-Encoding chunked
08-05 12:34:49.324  4395 24344 D CustomInterceptor: Vary Cookie
08-05 12:34:49.325  4395 24344 D CustomInterceptor: X-gunicorn-server app14
08-05 12:34:49.325  4395 24344 D CustomInterceptor: X-Homer You don't win friends with salad.
08-05 12:34:49.325  4395 24344 D CustomInterceptor: CACHEABLE true
08-05 12:34:49.325  4395 24344 D CustomInterceptor: REQ https://www.newsblur.com/reader/feeds/?update_counts=true
08-05 12:34:49.325  4395 24344 D CustomInterceptor: REQ_SERV_BY net
08-05 12:34:49.325  4395 24344 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/feeds/?update_counts=true
08-05 12:34:49.327  4395 24344 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 12:34:49.355  4395 24388 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-05 12:34:49.356  4395 24388 D CustomInterceptor: HEADER REQUEST
08-05 12:34:49.356  4395 24388 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 12:34:49.356  4395 24388 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:30:33 GMT; Max-Age=63072000; Path=/
08-05 12:34:49.356  4395 24388 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 12:34:49.356  4395 24388 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '1', toString = 'LruCache[maxSize=100,hits=1,misses=1,hitRate=50%]', 
08-05 12:34:49.356  4395 24388 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 12:34:49.846  4395 24388 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 12:34:49.847  4395 24388 D CustomInterceptor: HEADER RESPONSE
08-05 12:34:49.848  4395 24388 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 12:34:49.848  4395 24388 D CustomInterceptor: Connection close
08-05 12:34:49.848  4395 24388 D CustomInterceptor: Content-Type application/json
08-05 12:34:49.848  4395 24388 D CustomInterceptor: Date Wed, 05 Aug 2020 10:34:45 GMT
08-05 12:34:49.848  4395 24388 D CustomInterceptor: Expires Wed, 05 Aug 2020 10:39:49 GMT+00:00
08-05 12:34:49.848  4395 24388 D CustomInterceptor: Server gunicorn/19.7.0
08-05 12:34:49.848  4395 24388 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 12:34:49.848  4395 24388 D CustomInterceptor: Transfer-Encoding chunked
08-05 12:34:49.848  4395 24388 D CustomInterceptor: Vary Cookie
08-05 12:34:49.848  4395 24388 D CustomInterceptor: X-Chief-Wiggum I hope this has taught you kids a lesson: kids never learn.
08-05 12:34:49.848  4395 24388 D CustomInterceptor: X-gunicorn-server app17
08-05 12:34:49.848  4395 24388 D CustomInterceptor: CACHEABLE true
08-05 12:34:49.848  4395 24388 D CustomInterceptor: REQ https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-05 12:34:49.848  4395 24388 D CustomInterceptor: REQ_SERV_BY net
08-05 12:34:49.848  4395 24388 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-05 12:34:49.852  4395 24388 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 12:34:54.294  4395 24558 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-05 12:34:54.295  4395 24558 D CustomInterceptor: HEADER REQUEST
08-05 12:34:54.295  4395 24558 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 12:34:54.295  4395 24558 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:30:33 GMT; Max-Age=63072000; Path=/
08-05 12:34:54.295  4395 24558 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 12:34:54.295  4395 24558 D CustomInterceptor: CACHED STATS: size = '2', maxSize = '100', hitCount = '2', createCount = '0', putCount = '2', evictionCount = '0', missCount = '2', toString = 'LruCache[maxSize=100,hits=2,misses=2,hitRate=50%]', 
08-05 12:34:54.295  4395 24558 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 12:34:54.898  4395 24558 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 12:34:54.899  4395 24558 D CustomInterceptor: HEADER RESPONSE
08-05 12:34:54.900  4395 24558 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 12:34:54.900  4395 24558 D CustomInterceptor: Connection close
08-05 12:34:54.900  4395 24558 D CustomInterceptor: Content-Type application/json
08-05 12:34:54.900  4395 24558 D CustomInterceptor: Date Wed, 05 Aug 2020 10:34:50 GMT
08-05 12:34:54.900  4395 24558 D CustomInterceptor: Expires Wed, 05 Aug 2020 10:39:54 GMT+00:00
08-05 12:34:54.900  4395 24558 D CustomInterceptor: Server gunicorn/19.7.0
08-05 12:34:54.900  4395 24558 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 12:34:54.900  4395 24558 D CustomInterceptor: Vary Cookie, Accept-Encoding
08-05 12:34:54.900  4395 24558 D CustomInterceptor: X-gunicorn-server app12
08-05 12:34:54.900  4395 24558 D CustomInterceptor: X-Homer Save me, Jeebus.
08-05 12:34:54.900  4395 24558 D CustomInterceptor: CACHEABLE true
08-05 12:34:54.900  4395 24558 D CustomInterceptor: REQ https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-05 12:34:54.900  4395 24558 D CustomInterceptor: REQ_SERV_BY net
08-05 12:34:54.900  4395 24558 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-05 12:34:54.905  4395 24558 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 12:34:55.057  4395 24593 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-05 12:34:55.058  4395 24593 D CustomInterceptor: HEADER REQUEST
08-05 12:34:55.058  4395 24593 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 12:34:55.058  4395 24593 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '3', toString = 'LruCache[maxSize=100,hits=3,misses=3,hitRate=50%]', 
08-05 12:34:55.058  4395 24593 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 12:34:55.066  4395 24594 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-05 12:34:55.067  4395 24594 D CustomInterceptor: HEADER REQUEST
08-05 12:34:55.067  4395 24594 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 12:34:55.068  4395 24594 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '4', toString = 'LruCache[maxSize=100,hits=3,misses=4,hitRate=42%]', 
08-05 12:34:55.068  4395 24594 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 12:34:55.073  4395 24595 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-05 12:34:55.074  4395 24595 D CustomInterceptor: HEADER REQUEST
08-05 12:34:55.074  4395 24595 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 12:34:55.074  4395 24595 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '5', toString = 'LruCache[maxSize=100,hits=3,misses=5,hitRate=37%]', 
08-05 12:34:55.074  4395 24595 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 12:34:55.080  4395 24596 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/6882243.png
08-05 12:34:55.080  4395 24596 D CustomInterceptor: HEADER REQUEST
08-05 12:34:55.080  4395 24596 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 12:34:55.080  4395 24596 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '6', toString = 'LruCache[maxSize=100,hits=3,misses=6,hitRate=33%]', 
08-05 12:34:55.080  4395 24596 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
